,id,response,cand,question,knowledge,knowledge_ans,score
0,0,yes they are very well behaved . they are also useful for our immediate environment .,our immediate environment,They are also useful for what?,"In the gradual process of families improving their immediate environment, useful tree and vine species were identified, protected and improved while undesirable species were eliminated.",protected and improved,0.0
1,1,he became famous on youtube in the 20th century .,the 20th century,When did he become famous on youtube?,"Ross went from being a public-television personality in the 1980s and 1990s to being an Internet celebrity in the 21st century, popular with fans on YouTube and many other websites.",21st century,0.5
2,1,he became famous on youtube in the 20th century .,he,Who became famous on youtube in the 20th century?,"Ross went from being a public-television personality in the 1980s and 1990s to being an Internet celebrity in the 21st century, popular with fans on YouTube and many other websites.",ross,0.0
3,1,he became famous on youtube in the 20th century .,youtube,Where did he become famous?,"Ross went from being a public-television personality in the 1980s and 1990s to being an Internet celebrity in the 21st century, popular with fans on YouTube and many other websites.",internet,0.0
4,2,stamp collecting was proven to be a perfect hobby because each country wanted it to be,stamp collecting,What hobby did each country want to be involved in?,Stamp collecting proved to be an almost perfect hobby for collectors because there was a never ending stream of new stamps as each country sought to advertise its distinctiveness through its stamps.,[CLS],0.0
5,2,stamp collecting was proven to be a perfect hobby because each country wanted it to be,a perfect hobby,What was stamp collecting proven to be?,Stamp collecting proved to be an almost perfect hobby for collectors because there was a never ending stream of new stamps as each country sought to advertise its distinctiveness through its stamps.,almost perfect hobby for collectors,0.5714285714285715
6,2,stamp collecting was proven to be a perfect hobby because each country wanted it to be,each country,What country wanted stamp collecting to be a hobby?,Stamp collecting proved to be an almost perfect hobby for collectors because there was a never ending stream of new stamps as each country sought to advertise its distinctiveness through its stamps.,[CLS],0.0
7,3,yes i do stamp collecting because it is accepted as a wider subject,a wider subject,What is stamp collecting accepted as?,"Stamp collecting is generally accepted as one of the areas that make up the wider subject of philately, which is the study of stamps.",one of the areas that make up the wider subject of philately,0.33333333333333337
8,4,the symptoms of asthma are recurring and reversible .,the symptoms,What is reversible about asthma?,"It is characterized by variable and recurring symptoms, reversible airflow obstruction, and bronchospasm.",airflow obstruction,0.0
9,4,the symptoms of asthma are recurring and reversible .,asthma,What are the symptoms of?,"It is characterized by variable and recurring symptoms, reversible airflow obstruction, and bronchospasm.",[CLS],0.0
10,5,random house owns 25 % and 75 % of penguin group ' s shares .,25 % and 75 %,What percentage of penguin group shares does random house own?,"Random House and Penguin Group, the parent companies, own 75% and 25%, respectively.",25%,0.5
11,5,random house owns 25 % and 75 % of penguin group ' s shares .,random house,Who owns 25 % and 75 % of penguin group shares?,"Random House and Penguin Group, the parent companies, own 75% and 25%, respectively.",[CLS],0.0
12,5,random house owns 25 % and 75 % of penguin group ' s shares .,75 %,What percentage of penguin group shares are owned by random house?,"Random House and Penguin Group, the parent companies, own 75% and 25%, respectively.",25%,0.0
13,5,random house owns 25 % and 75 % of penguin group ' s shares .,penguin group,Random house owns 25 % and 75 % of what group's shares?,"Random House and Penguin Group, the parent companies, own 75% and 25%, respectively.",[CLS],0.0
14,6,no problem . pop punk has been around since the 2000 ' s .,no problem,Does pop punk have a problem?,"The 2000s saw the creation or emergence of a few styles, such as indie-related genres such as Emo, Alternative R&B, and a multitude of new electronic subgenres, most notably Dubstep, Bass music and Moombahton, as well as genres that fused influences from past decades, mostly the 80s, into creating new styles such as Nu-disco and Hypnagogic pop.",[CLS],0.0
15,6,no problem . pop punk has been around since the 2000 ' s .,pop punk,What genre of music has been around since the 2000s?,"The 2000s saw the creation or emergence of a few styles, such as indie-related genres such as Emo, Alternative R&B, and a multitude of new electronic subgenres, most notably Dubstep, Bass music and Moombahton, as well as genres that fused influences from past decades, mostly the 80s, into creating new styles such as Nu-disco and Hypnagogic pop.","[CLS] what genre of music has been around since the 2000s?[SEP] the 2000s saw the creation or emergence of a few styles, such as indie-related genres such as emo, alternative r&b, and a multitude of new electronic subgenres, most notably dubstep, bass music and moombahton, as well as genres that fused influences from past decades, mostly the 80s, into creating new styles such as nu-disco and hypnagogic pop",0.03125
16,6,no problem . pop punk has been around since the 2000 ' s .,the 2000 ' s,Pop punk has been around since when?,"The 2000s saw the creation or emergence of a few styles, such as indie-related genres such as Emo, Alternative R&B, and a multitude of new electronic subgenres, most notably Dubstep, Bass music and Moombahton, as well as genres that fused influences from past decades, mostly the 80s, into creating new styles such as Nu-disco and Hypnagogic pop.",[CLS],0.0
17,7,i like federer the most . he originated in england in the 19th century,the 19th century,When did federer originate?,"The modern game of tennis originated in Birmingham, England, in the late 19th century as lawn tennis.",[CLS],0.0
18,7,i like federer the most . he originated in england in the 19th century,england,Where did federer originate?,"The modern game of tennis originated in Birmingham, England, in the late 19th century as lawn tennis.",[CLS],0.0
19,8,yeah in most of 19th century the term tennis was called lawn tennis,the term tennis,In the 19th century what was called lawn tennis?,"During most of the 19th century, in fact, the term ""tennis"" referred to real tennis, not lawn tennis: for example, in Disraeli's novel ""Sybil"" (1845), Lord Eugene De Vere announces that he will ""go down to Hampton Court and play tennis.""",[CLS],0.0
20,8,yeah in most of 19th century the term tennis was called lawn tennis,lawn tennis,In the 19th century tennis was called what?,"During most of the 19th century, in fact, the term ""tennis"" referred to real tennis, not lawn tennis: for example, in Disraeli's novel ""Sybil"" (1845), Lord Eugene De Vere announces that he will ""go down to Hampton Court and play tennis.""","""tennis""",0.6666666666666666
21,9,"it is an olympic sport ! poppen named it after his wife ' s friend nancy , poppen .",an olympic sport,What is it?,"Dubbed the ""snurfer"" (combining snow and surfer) by his wife Nancy, the toy proved so popular among his daughters' friends that Poppen licensed the idea to a manufacturer, Brunswick Corporation, that sold about a million snurfers over the next decade.","""snurfer""",0.0
22,10,"i know that he owns miss universe , which is a miss usa pageant .",he,Who owns miss universe?,Trump owned the Miss Universe and Miss USA beauty pageants from 1996 to 2015.,trump,0.0
23,10,"i know that he owns miss universe , which is a miss usa pageant .",miss universe,What pageant does he own?,Trump owned the Miss Universe and Miss USA beauty pageants from 1996 to 2015.,miss universe,1.0
24,10,"i know that he owns miss universe , which is a miss usa pageant .",a miss usa pageant,What is miss universe?,Trump owned the Miss Universe and Miss USA beauty pageants from 1996 to 2015.,beauty pageants,0.0
25,11,i ' m not sure . most adults don ' t realize that they have ocd .,most adults don ' t,Do adults realize they have ocd?,Most adults realize that the behaviors do not make sense.,most adults realize that the behaviors do not make sense.,0.30769230769230765
26,12,"i would have to say paul mccartney , he was my favorite drummer .",my favorite drummer,Who was paul mccartney?,"The core trio of Lennon, McCartney and Harrison went through a succession of drummers, including Pete Best, before asking Starr to join them in 1962.",[CLS],0.0
27,13,i think it has to do with the fact that it ' s a show that ' s been around since 2017 .,2017,Since what year has the show been around?,"Another show, ""Top Chef Junior"", featuring contestants in their early teens, premiered in October 2017 on Universal Kids.",2017,1.0
28,13,i think it has to do with the fact that it ' s a show that ' s been around since 2017 .,a show,What is's been around since 2017?,"Another show, ""Top Chef Junior"", featuring contestants in their early teens, premiered in October 2017 on Universal Kids.","""top chef junior"",",0.0
29,14,i remember the first one was called magic flip . it was called a magic flip and was invented in the 60 ' s .,60 ' s,When was the first magic flip invented?,"The first flip trick called a kickflip, originally called a ""magic flip,"" was invented by professional skateboarder Rodney Mullen.",[CLS],0.0
30,14,i remember the first one was called magic flip . it was called a magic flip and was invented in the 60 ' s .,magic flip,What was the first flip called?,"The first flip trick called a kickflip, originally called a ""magic flip,"" was invented by professional skateboarder Rodney Mullen.",kickflip,0.0
31,14,i remember the first one was called magic flip . it was called a magic flip and was invented in the 60 ' s .,a magic flip,What was the first flip called?,"The first flip trick called a kickflip, originally called a ""magic flip,"" was invented by professional skateboarder Rodney Mullen.",kickflip,0.0
32,14,i remember the first one was called magic flip . it was called a magic flip and was invented in the 60 ' s .,the 60 ' s,When was the first magic flip invented?,"The first flip trick called a kickflip, originally called a ""magic flip,"" was invented by professional skateboarder Rodney Mullen.",[CLS],0.0
33,15,have you ever seen the movie snow queen ? it ' s based on a fairy tale .,a fairy tale,What is the movie snow queen based on?,"The 53rd Disney animated feature film, the film is inspired by Hans Christian Andersen's fairy tale ""The Snow Queen"".",hans christian andersen's fairy tale,0.5714285714285715
34,16,"it started off as a newspaper , but now it ' s publishing company .",a newspaper,What did it start as?,"Founded in 1851, the paper has won 122 Pulitzer Prizes, more than any other newspaper.",[CLS],0.0
35,16,"it started off as a newspaper , but now it ' s publishing company .",publishing company,What is it now called?,"Founded in 1851, the paper has won 122 Pulitzer Prizes, more than any other newspaper.",[CLS],0.0
36,17,it is ! jamaica lies in the middle of cuba and the caribbean .,jamaica,What island lies in the middle of cuba and the caribbean?,"Jamaica lies about south of Cuba, and west of Hispaniola (the island containing the countries of Haiti and the Dominican Republic).",[CLS],0.0
37,17,it is ! jamaica lies in the middle of cuba and the caribbean .,cuba,What country is jamaica located in?,"Jamaica lies about south of Cuba, and west of Hispaniola (the island containing the countries of Haiti and the Dominican Republic).",[CLS],0.0
38,18,"no i didn ' t , but i do know that they have pairs of organs that appear on the right side of the body instead of on the left .",pairs,How many organs appear on the right side of the body?,"To accommodate their narrow bodies, snakes' paired organs (such as kidneys) appear one in front of the other instead of side by side, and most have only one functional lung.",[CLS],0.0
39,18,"no i didn ' t , but i do know that they have pairs of organs that appear on the right side of the body instead of on the left .",organs,What do they have pairs of on the right side of the body?,"To accommodate their narrow bodies, snakes' paired organs (such as kidneys) appear one in front of the other instead of side by side, and most have only one functional lung.",[CLS],0.0
40,18,"no i didn ' t , but i do know that they have pairs of organs that appear on the right side of the body instead of on the left .",the body,Where are the pairs of organs on the right side?,"To accommodate their narrow bodies, snakes' paired organs (such as kidneys) appear one in front of the other instead of side by side, and most have only one functional lung.",[CLS],0.0
41,19,"i didn ' t know that , but i did know that some snakes have a girdle on the side of their cloaca that allows them to eat adults .",a girdle,What do some snakes have on the side of their cloaca?,Some species retain a pelvic girdle with a pair of vestigial claws on either side of the cloaca.,vestigial claws,0.0
42,19,"i didn ' t know that , but i did know that some snakes have a girdle on the side of their cloaca that allows them to eat adults .",the side,What part of their cloaca does a snake have a girdle?,Some species retain a pelvic girdle with a pair of vestigial claws on either side of the cloaca.,pelvic,0.0
43,19,"i didn ' t know that , but i did know that some snakes have a girdle on the side of their cloaca that allows them to eat adults .",their cloaca,Some snakes have a girdle on the side of what?,Some species retain a pelvic girdle with a pair of vestigial claws on either side of the cloaca.,[CLS] some snakes have a girdle on the side of what?[SEP] some species retain a pelvic girdle with a pair of vestigial claws on either side of the cloaca,0.07692307692307693
44,19,"i didn ' t know that , but i did know that some snakes have a girdle on the side of their cloaca that allows them to eat adults .",adults,Some snakes have a girdle on the side of their cloaca that allows them to eat what?,Some species retain a pelvic girdle with a pair of vestigial claws on either side of the cloaca.,[CLS],0.0
45,20,"oh , i didn ' t know that . i know paul mccartney left the group in september of 1969 .",1969,What year did paul mccartney leave the band?,"Although in September 1969 John Lennon privately informed the other Beatles that he was leaving the group, there was no public acknowledgement of the break-up until Paul McCartney announced on 10 April 1970 he was leaving the Beatles.",1970,0.0
46,20,"oh , i didn ' t know that . i know paul mccartney left the group in september of 1969 .",paul mccartney,Who left the band in 1969?,"Although in September 1969 John Lennon privately informed the other Beatles that he was leaving the group, there was no public acknowledgement of the break-up until Paul McCartney announced on 10 April 1970 he was leaving the Beatles.",john lennon,0.0
47,20,"oh , i didn ' t know that . i know paul mccartney left the group in september of 1969 .",the group,What did paul mccartney leave in 1969?,"Although in September 1969 John Lennon privately informed the other Beatles that he was leaving the group, there was no public acknowledgement of the break-up until Paul McCartney announced on 10 April 1970 he was leaving the Beatles.",[CLS],0.0
48,21,the bible is one of the most sacred texts in the bible .,the bible,What is one of the most sacred texts in the bible?,"The Bible (from Koine Greek τὰ βιβλία, ""tà biblía"", ""the books"") is a collection of sacred texts or scriptures that Jews and Christians consider to be a product of divine inspiration and a record of the relationship between God and humans.",[CLS],0.0
49,22,i think so too . in 1997 they were sold to a company called sephornaud .,1997,When were they sold to sephornaud?,"In July 1997, Mandonnaud and his partners sold Sephora to LVMH, who expanded the stores globally and bolstered the chain's product offerings to include beauty and cosmetic products.",[CLS],0.0
50,22,i think so too . in 1997 they were sold to a company called sephornaud .,a company,What was sephornaud?,"In July 1997, Mandonnaud and his partners sold Sephora to LVMH, who expanded the stores globally and bolstered the chain's product offerings to include beauty and cosmetic products.",[CLS],0.0
51,22,i think so too . in 1997 they were sold to a company called sephornaud .,sephornaud,What company sold them to in 1997?,"In July 1997, Mandonnaud and his partners sold Sephora to LVMH, who expanded the stores globally and bolstered the chain's product offerings to include beauty and cosmetic products.",lvmh,0.0
52,23,"i am not sure , but i know that it has the largest population in the whole world",NO_Q,NO_Q,"It is the seventh-largest country by area, the second-most populous country (with over 1.2 billion people), and the most populous democracy in the world.",NO_Q,-1.0
53,24,i ' m not sure but i do know that finance aims for the risk level .,finance,What type of business aims for the risk level?,Finance aims to price assets based on their risk level and their expected rate of return.,finance,1.0
54,24,i ' m not sure but i do know that finance aims for the risk level .,the risk level,What does finance aim for?,Finance aims to price assets based on their risk level and their expected rate of return.,price assets based on their risk level and their expected rate of return,0.2666666666666667
55,25,the song was written by ken nelson in 2000 .,2000,When was the song written?,"The band wrote the song and co-produced it with British record producer Ken Nelson for their debut album, ""Parachutes"" (2000).",(2000).,1.0
56,25,the song was written by ken nelson in 2000 .,the song,What was written by ken nelson in 2000?,"The band wrote the song and co-produced it with British record producer Ken Nelson for their debut album, ""Parachutes"" (2000).",[CLS],0.0
57,25,the song was written by ken nelson in 2000 .,ken nelson,Who wrote the song?,"The band wrote the song and co-produced it with British record producer Ken Nelson for their debut album, ""Parachutes"" (2000).","the band wrote the song and co-produced it with british record producer ken nelson for their debut album, ""parachutes""",0.21052631578947367
58,26,"i ' m not sure , but the term bison burger is popular in india .",india,In what country is the term bison burger popular?,"The term may be prefixed with the type of meat or meat substitute used, as in ""turkey burger"", ""bison burger"", or ""veggie burger"".",[CLS],0.0
59,27,miami is the most populated city in the state of miami,miami,What city is the most populated in the state of miami?,"As the seat of Miami-Dade County, the municipality is the principal, central, and the most populous city of the Miami metropolitan area and part of the second-most populous metropolis in the southeastern United States.",[CLS],0.0
60,28,i am not sure but i do know that it was ranked number 7 in the us in 2008,7,What was the US ranking in 2008?,"In 2008, ""Forbes"" magazine ranked Miami ""America's Cleanest City"", for its year-round good air quality, vast green spaces, clean drinking water, clean streets, and citywide recycling programs.","""america's cleanest city"",",0.0
61,28,i am not sure but i do know that it was ranked number 7 in the us in 2008,2008,In what year was it ranked number 7 in the us?,"In 2008, ""Forbes"" magazine ranked Miami ""America's Cleanest City"", for its year-round good air quality, vast green spaces, clean drinking water, clean streets, and citywide recycling programs.",[CLS],0.0
62,28,i am not sure but i do know that it was ranked number 7 in the us in 2008,the us,Where was it ranked number 7 in 2008?,"In 2008, ""Forbes"" magazine ranked Miami ""America's Cleanest City"", for its year-round good air quality, vast green spaces, clean drinking water, clean streets, and citywide recycling programs.",[CLS],0.0
63,29,interesting . butchers have been around for a long time . they have been domesticated .,butchers,What has been around for a long time?,"An ancient trade, whose duties may date back to the domestication of livestock, butchers formed guilds in England as far back as 1272.",,0.0
64,29,interesting . butchers have been around for a long time . they have been domesticated .,a long time,How long have butchers been around?,"An ancient trade, whose duties may date back to the domestication of livestock, butchers formed guilds in England as far back as 1272.",[CLS],0.0
65,30,i visited manhattan which is the largest borough of manhattan .,manhattan,What is the largest borough of manhattan?,"Manhattan () is the most densely populated borough of New York City, its economic and administrative center, and its historical birthplace.",[CLS],0.0
66,31,the word philately is actually a french word coined by george herpin .,a french word,What is philately?,"The word ""philately"" is the English version of the French word ""philatélie"", coined by Georges Herpin in 1864.","the english version of the french word ""philatelie""",0.5
67,31,the word philately is actually a french word coined by george herpin .,george herpin,Who coined the word philately?,"The word ""philately"" is the English version of the French word ""philatélie"", coined by Georges Herpin in 1864.",georges herpin,0.5
68,32,i went to honshu which is the home island of honshu .,honshu,What is the home island of honshu?,"The four largest are Honshu, Hokkaido, Kyushu and Shikoku, which make up about ninety-seven percent of Japan's land area and often are referred to as home islands.",[CLS],0.0
69,32,i went to honshu which is the home island of honshu .,the home island,What island is honshu?,"The four largest are Honshu, Hokkaido, Kyushu and Shikoku, which make up about ninety-seven percent of Japan's land area and often are referred to as home islands.",home islands,0.5
70,33,"that ' s too bad , it ' s a huge city with a population of over 305 million .",over 305 million,What is the population of New York City?,"As of 2017, a total population of 305,704 lives within the city limits, making it the 63rd-largest city in the U.S.","305,704",0.0
71,34,"yes , he was born in 1991 . the song was released in november 2014 .",1991,When was he born?,"In the UK, the song spent 19 weeks within the top 40 before it peaked at number 1 in early November 2014; it became Sheeran's second number 1 single there.",[CLS],0.0
72,34,"yes , he was born in 1991 . the song was released in november 2014 .",november 2014,When was the song released?,"In the UK, the song spent 19 weeks within the top 40 before it peaked at number 1 in early November 2014; it became Sheeran's second number 1 single there.",[CLS],0.0
73,34,"yes , he was born in 1991 . the song was released in november 2014 .",he,Who was born in 1991?,"In the UK, the song spent 19 weeks within the top 40 before it peaked at number 1 in early November 2014; it became Sheeran's second number 1 single there.",[CLS],0.0
74,34,"yes , he was born in 1991 . the song was released in november 2014 .",the song,What was released in november 2014?,"In the UK, the song spent 19 weeks within the top 40 before it peaked at number 1 in early November 2014; it became Sheeran's second number 1 single there.",[CLS],0.0
75,35,me too . he won an album of his own in 2015 .,2015,In what year did he win an album?,"In 2015, ""x"" won the Brit Award for Album of the Year, and he received the Ivor Novello Award for Songwriter of the Year from the British Academy of Songwriters, Composers and Authors.",2015,1.0
76,35,me too . he won an album of his own in 2015 .,an album,What did he win for himself in 2015?,"In 2015, ""x"" won the Brit Award for Album of the Year, and he received the Ivor Novello Award for Songwriter of the Year from the British Academy of Songwriters, Composers and Authors.",brit award for album of the year,0.2857142857142857
77,36,in both forms the arranger is the game master and the other player is the referee,both forms,In what forms is the arranger the game master?,"In both of these forms, an arranger called a game master (GM) usually decides on the rules and setting to be used, acting as referee, while each of the other players plays the role of a single character.",both,0.6666666666666666
78,36,in both forms the arranger is the game master and the other player is the referee,the arranger,Who is the game master?,"In both of these forms, an arranger called a game master (GM) usually decides on the rules and setting to be used, acting as referee, while each of the other players plays the role of a single character.",an arranger,1.0
79,36,in both forms the arranger is the game master and the other player is the referee,the game master,Who is the arranger in both forms?,"In both of these forms, an arranger called a game master (GM) usually decides on the rules and setting to be used, acting as referee, while each of the other players plays the role of a single character.",game master,1.0
80,36,in both forms the arranger is the game master and the other player is the referee,the other player,Who is the referee?,"In both of these forms, an arranger called a game master (GM) usually decides on the rules and setting to be used, acting as referee, while each of the other players plays the role of a single character.",a game master,0.0
81,36,in both forms the arranger is the game master and the other player is the referee,the referee,Who is the other player?,"In both of these forms, an arranger called a game master (GM) usually decides on the rules and setting to be used, acting as referee, while each of the other players plays the role of a single character.","[CLS] who is the other player?[SEP] in both of these forms, an arranger called a game master (gm) usually decides on the rules and setting to be used, acting as referee, while each of the other players plays the role of a single character",0.05405405405405406
82,37,they are stories that are about dragons and fairy tales .,stories,What are about dragons and fairy tales?,"The Canterbury Tales () is a collection of 24 stories that runs to over 17,000 lines written in Middle English by Geoffrey Chaucer between 1387 and 1400.",[CLS],0.0
83,37,they are stories that are about dragons and fairy tales .,dragons,"Along with fairy tales, what are stories about?","The Canterbury Tales () is a collection of 24 stories that runs to over 17,000 lines written in Middle English by Geoffrey Chaucer between 1387 and 1400.",[CLS],0.0
84,37,they are stories that are about dragons and fairy tales .,fairy tales,What are stories about dragons and?,"The Canterbury Tales () is a collection of 24 stories that runs to over 17,000 lines written in Middle English by Geoffrey Chaucer between 1387 and 1400.",[CLS],0.0
85,38,milton milton was one of my favorite confectionists .,NO_Q,NO_Q,"Milton Snavely Hershey (September 13, 1857 – October 13, 1945) was an American confectioner and philanthropist.",NO_Q,-1.0
86,39,"yeah , the 1954 models could be order in any color .",1954,What year could be ordered in any color?,"The 1954 model year vehicles could be ordered in Pennant Blue, Sportsman Red, Black, or Polo White; 3,640 were built, and sold slowly.",1954,1.0
87,39,"yeah , the 1954 models could be order in any color .",the 1954 models,What could be ordered in any color?,"The 1954 model year vehicles could be ordered in Pennant Blue, Sportsman Red, Black, or Polo White; 3,640 were built, and sold slowly.",[CLS],0.0
88,39,"yeah , the 1954 models could be order in any color .",order,The 1954 models could be what in any color?,"The 1954 model year vehicles could be ordered in Pennant Blue, Sportsman Red, Black, or Polo White; 3,640 were built, and sold slowly.","pennant blue, sportsman red, black, or polo white",0.0
89,39,"yeah , the 1954 models could be order in any color .",any color,The 1954 models could be ordered in what color?,"The 1954 model year vehicles could be ordered in Pennant Blue, Sportsman Red, Black, or Polo White; 3,640 were built, and sold slowly.",pennant blue,0.0
90,40,i do ! i think it ' s fascinating how the early and middle ages were divided into different parts of the world .,the early and middle ages,What ages were divided into different parts of the world?,"The medieval period is itself subdivided into the Early, High, and Late Middle Ages.",[CLS],0.0
91,40,i do ! i think it ' s fascinating how the early and middle ages were divided into different parts of the world .,the world,The early and middle ages were divided into different parts of what?,"The medieval period is itself subdivided into the Early, High, and Late Middle Ages.",high,0.0
92,41,"i ' m not a huge fan , but i do know that his first novel of poetry was called jill .",poetry,What genre was jill's first novel?,"His first book of poetry, ""The North Ship"", was published in 1945, followed by two novels, ""Jill"" (1946) and ""A Girl in Winter"" (1947), and he came to prominence in 1955 with the publication of his second collection of poems, ""The Less Deceived"", followed by ""The Whitsun Weddings"" (1964) and ""High Windows"" (1974).",[CLS],0.0
93,41,"i ' m not a huge fan , but i do know that his first novel of poetry was called jill .",jill,What was his first poem called?,"His first book of poetry, ""The North Ship"", was published in 1945, followed by two novels, ""Jill"" (1946) and ""A Girl in Winter"" (1947), and he came to prominence in 1955 with the publication of his second collection of poems, ""The Less Deceived"", followed by ""The Whitsun Weddings"" (1964) and ""High Windows"" (1974).","""the north ship"",",0.0
94,42,fran sinatra is a great singer . she was born in new jersey .,fran sinatra,Who is a great singer?,"Born in Hoboken, New Jersey, to Italian immigrants, Sinatra began his musical career in the swing era with bandleaders Harry James and Tommy Dorsey.",[CLS],0.0
95,42,fran sinatra is a great singer . she was born in new jersey .,a great singer,What is fran sinatra?,"Born in Hoboken, New Jersey, to Italian immigrants, Sinatra began his musical career in the swing era with bandleaders Harry James and Tommy Dorsey.",[CLS],0.0
96,42,fran sinatra is a great singer . she was born in new jersey .,new jersey,Where was fran sinatra born?,"Born in Hoboken, New Jersey, to Italian immigrants, Sinatra began his musical career in the swing era with bandleaders Harry James and Tommy Dorsey.","hoboken, new jersey",0.8
97,43,i didn ' t realize it was filmed in seattle .,seattle,Where was the film filmed?,"Although the series is set in Seattle (at the fictional Seattle Grace, later known as the Grey-Sloan Memorial Hospital), it is filmed primarily in Los Angeles, California.","los angeles, california",0.0
98,44,yes it is unhealthy . it was actually discovered by a physician named alchemist .,alchemist,What was the name of the physician who discovered it?,"Rhazes (854 CE – 925 CE), was a Persian polymath, physician, alchemist, and philosopher who discovered numerous compounds and chemicals including ""alcohol"" by developing several chemical instruments and methods of distillation.",[CLS] what was the name of the physician who discovered it?[SEP] rhazes,0.0
99,45,"i ' m not sure , but i do know that india is adjacent to india ' s mountains !",india,What country is adjacent to india's mountains?,It includes:  The cold deserts of India are located adjacent to the Himalaya Mountains.,[CLS],0.0
100,45,"i ' m not sure , but i do know that india is adjacent to india ' s mountains !",india,What country is adjacent to india's mountains?,It includes:  The cold deserts of India are located adjacent to the Himalaya Mountains.,[CLS],0.0
101,45,"i ' m not sure , but i do know that india is adjacent to india ' s mountains !",india ' s mountains,Where is india adjacent to?,It includes:  The cold deserts of India are located adjacent to the Himalaya Mountains.,himalaya mountains,0.4
